,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
3562,PstI.TP377913,PF03321,"PTHR31901,PTHR31901:SF18",,,K14487,,AT2G47750,GH3.9,putative indole-3-acetic acid-amido synthetase GH3.9,LOC_Os07g47490,NA,"OsGH3.11 - Probable indole-3-acetic acid-amido synthetase, expressed"
3563,PstI.TP38134,PF03478,"PTHR33127,PTHR33127:SF1",,,,,AT2G24250,,Protein of unknown function (DUF295),LOC_Os01g66260,NA,expressed protein
3564,PstI.TP38134,PF03478,"PTHR33127,PTHR33127:SF1",,,,,AT2G24250,,Protein of unknown function (DUF295),LOC_Os01g66260,NA,expressed protein
3565,PstI.TP38134,PF15511,PTHR10484,KOG3467,,K11254,,AT5G59970,,Histone superfamily protein,LOC_Os09g38020,NA,"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
3566,PstI.TP38134,,,,,,,,,,,NA,
3567,PstI.TP38134,PF00565,PTHR12302,,3.1.31.1,,,AT3G56170,CAN,Ca-2+ dependent nuclease,LOC_Os01g07200,NA,"staphylococcal nuclease homologue, putative, expressed"
3569,PstI.TP38134,"PF00954,PF01453,PF00069","PTHR27002,PTHR27002:SF22",KOG1187,2.7.11.1,,"GO:0048544,GO:0006468,GO:0005524,GO:0004672",AT1G34300,,lectin protein kinase family protein,LOC_Os01g48000,NA,"S-locus-like receptor protein kinase, putative, expressed"
3570,PstI.TP385678,,,,,,,,,,,NA,
3573,PstI.TP392273,PF00022,"PTHR11937,PTHR11937:SF16",,,K11672,"GO:0031011,GO:0006355,GO:0006281",AT3G12380,"ARP5,ATARP5",actin-related protein 5,LOC_Os05g01600,NA,"actin, putative, expressed"
3575,PstI.TP392273,,,,,,,,,,LOC_Os01g05100,NA,expressed protein
3576,PstI.TP392273,PF02450,"PTHR11440,PTHR11440:SF52",KOG2369,2.3.1.43,K06129,"GO:0008374,GO:0006629",AT1G27480,,alpha/beta-Hydrolases superfamily protein,LOC_Os02g37654,NA,"lecithin:cholesterol acyltransferase, putative, expressed"
3577,PstI.TP392273,PF09783,"PTHR14534,PTHR14534:SF4",,,,,AT2G37680,,,LOC_Os03g47550,NA,expressed protein
3578,PstI.TP392482,,,,,,,,,,,NA,
3579,PstI.TP392482,"PF13920,PF00225","PTHR24115,PTHR24115:SF386",KOG0242,3.6.4.4,K11498,"GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871",AT4G39050,,Kinesin motor family protein,LOC_Os10g36880,NA,"kinesin motor domain containing protein, putative, expressed"
3581,PstI.TP396517,,PTHR35295,,,,,AT2G33793,,,LOC_Os03g62160,NA,expressed protein
3583,PstI.TP396517,,,,,,,,,,,NA,
3584,PstI.TP396517,PF00226,"PTHR24078:SF181,PTHR24078",,,,,AT4G19570,,Chaperone DnaJ-domain superfamily protein,LOC_Os03g62120,NA,"heat shock protein DnaJ, putative, expressed"
3585,PstI.TP396517,PF04095,"PTHR11098,PTHR11098:SF17",,6.3.4.21,K00763,,AT4G36940,NAPRT1,nicotinate phosphoribosyltransferase 1,LOC_Os03g62110,NA,"nicotinate phosphoribosyltransferase family domain containing protein, expressed"
3588,PstI.TP40160,PF07893,"PTHR33085:SF11,PTHR33085",,,,,,,,LOC_Os03g43340,NA,expressed protein
3590,PstI.TP40160,PF07893,"PTHR33085,PTHR33085:SF11",,,,,,,,LOC_Os03g43340,NA,expressed protein
3591,PstI.TP40160,PF03810,"PTHR10997,PTHR10997:SF7",,,,"GO:0008536,GO:0006886",AT3G08960,,ARM repeat superfamily protein,LOC_Os07g49260,NA,"importin subunit beta, putative, expressed"
3592,PstI.TP402756,PF00010,"PTHR23042,PTHR23042:SF25",,,,GO:0046983,AT4G37850,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os03g51580,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
3595,PstI.TP402756,PF07859,"PTHR23024,PTHR23024:SF154",,4.2.99.22,,"GO:0016787,GO:0008152",AT1G47480,,alpha/beta-Hydrolases superfamily protein,LOC_Os06g11135,NA,"gibberellin receptor GID1L2, putative, expressed"
3596,PstI.TP402756,PF00069,"PTHR24056,PTHR24056:SF187",,"2.7.11.22,2.7.11.23",K08819,"GO:0006468,GO:0005524,GO:0004672",AT5G10270,CDKC;1,cyclin-dependent kinase C;1,LOC_Os01g72790,NA,"cyclin-dependent kinase, putative, expressed"
3597,PstI.TP402756,"PF00149,PF05011",PTHR12849,,,K18328,"GO:0016787,GO:0016788,GO:0006397",AT4G31770,"ATDBR1,DBR1",debranching enzyme 1,,NA,
3600,PstI.TP403796,PF04146,"PTHR12357,PTHR12357:SF27",KOG1901,,,,AT5G61020,ECT3,evolutionarily conserved C-terminal region 3,LOC_Os07g07490,NA,"YT521-B, putative, expressed"
3602,PstI.TP403796,,,,,,,,,,,NA,
3603,PstI.TP403796,,,,,,,,,,,NA,
3604,PstI.TP403796,PF07714,"PTHR24056,PTHR24056:SF195","KOG0659,KOG0594","2.7.11.22,2.7.11.23",K08818,"GO:0006468,GO:0004672",AT1G67580,,Protein kinase superfamily protein,LOC_Os06g47880,NA,"cell division control protein 2 homolog 3, putative, expressed"
3605,PstI.TP403796,,,,,,,,,,,NA,
3606,PstI.TP403796,PF07714,"PTHR24056,PTHR24056:SF195",KOG0663,"2.7.11.22,2.7.11.23",K08818,"GO:0006468,GO:0004672",AT1G67580,,Protein kinase superfamily protein,LOC_Os06g47880,NA,"cell division control protein 2 homolog 3, putative, expressed"
3607,PstI.TP403796,PF02298,"PTHR33021,PTHR33021:SF19",,,,GO:0009055,AT2G32300,UCC1,uclacyanin 1,LOC_Os03g57740,NA,"plastocyanin-like domain containing protein, putative, expressed"
3608,PstI.TP403796,PF02298,"PTHR33021,PTHR33021:SF53",,,,GO:0009055,AT2G26720,,Cupredoxin superfamily protein,LOC_Os03g57740,NA,"plastocyanin-like domain containing protein, putative, expressed"
3609,PstI.TP403796,"PF00957,PF13774","PTHR21136,PTHR21136:SF89",KOG0862,,K08517,"GO:0016192,GO:0016021",AT1G11890,"ATSEC22,SEC22",Synaptobrevin family protein,LOC_Os06g09850,NA,"25.3 kDa vesicle transport protein, putative, expressed"
3610,PstI.TP404885,PF05757,"PTHR33399,PTHR33399:SF4",,,,"GO:0019898,GO:0015979,GO:0009654,GO:0009523,GO:0005509",AT3G01440,"PQL1,PQL2",PsbQ-like 1,LOC_Os04g44190,NA,expressed protein
3611,PstI.TP404885,PF05757,"PTHR33399,PTHR33399:SF6",,,,"GO:0019898,GO:0015979,GO:0009654,GO:0009523,GO:0005509",AT2G01918,PQL3,PsbQ-like 3,LOC_Os04g44200,NA,"oxygen-evolving enhancer protein 3, chloroplast precursor, putative, expressed"
3612,PstI.TP404885,PF12579,"PTHR14000,PTHR14000:SF7",,,,,AT1G60670,,Protein of unknown function (DUF3755),LOC_Os04g44210,NA,expressed protein
3613,PstI.TP408444,PF07719,"PTHR23083,PTHR23083:SF39",,,,"GO:0035058,GO:0034464",AT2G43040,NPG1,tetratricopeptide repeat (TPR)-containing protein,LOC_Os11g46230,NA,"tetratricopeptide repeat domain containing protein, expressed"
3614,PstI.TP409479,"PF00185,PF02729","PTHR11405,PTHR11405:SF16",KOG1504,2.1.3.2,K00609,"GO:0016743,GO:0016597,GO:0006520",AT3G20330,PYRB,PYRIMIDINE B,LOC_Os08g15030,NA,"aspartate carbamoyltransferase, putative, expressed"
3616,PstI.TP409479,PF00249,"PTHR10641,PTHR10641:SF520",,,K09422,,AT5G57620,"AtMYB36,MYB36",myb domain protein 36,LOC_Os08g15020,NA,"MYB family transcription factor, putative, expressed"
3617,PstI.TP410209,PF03094,"PTHR31942,PTHR31942:SF19",,,K08472,"GO:0016021,GO:0006952",AT4G02600,"ATMLO1,MLO1",Seven transmembrane MLO family protein,LOC_Os01g66510,NA,"MLO domain containing protein, putative, expressed"
3618,PstI.TP410209,,"PTHR36023,PTHR36023:SF2",,,,,,,,LOC_Os01g66530,NA,"ARGOS, putative, expressed"
3619,PstI.TP410209,"PF01636,PF09202","PTHR10593,PTHR10593:SF36",,2.7.11.1,K07179,"GO:0006468,GO:0005524,GO:0004674",AT3G51270,,protein serine/threonine kinases;ATP binding;catalytics,LOC_Os01g66520,NA,"serine/threonine-protein kinase RIO-like, putative, expressed"
3622,PstI.TP410728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3623,PstI.TP410728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628,PstI.TP412177,"PF14389,PF04784","PTHR23054,PTHR23054:SF31",,,,,AT2G23700,,"Protein of unknown function, DUF547",LOC_Os03g13130,NA,"ternary complex factor MIP1, putative, expressed"
3629,PstI.TP412177,PF00042,PTHR22924,,,,"GO:0020037,GO:0019825",AT2G16060,"AHB1,ARATH GLB1,ATGLB1,GLB1,HB1,NSHB1",hemoglobin 1,LOC_Os03g12510,NA,"non-symbiotic hemoglobin 2, putative, expressed"
3630,PstI.TP412177,PF00067,"PTHR24286,PTHR24286:SF50",,4.2.1.92,K01723,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT5G42650,"AOS,CYP74A,DDE2",allene oxide synthase,LOC_Os03g12500,NA,"cytochrome P450, putative, expressed"
3632,PstI.TP41440,"PF02911,PF00551","PTHR11138,PTHR11138:SF3",KOG3082,2.1.2.9,K00604,"GO:0016742,GO:0009058",AT1G66520,pde194,"formyltransferase, putative",LOC_Os01g49330,NA,"formyl transferase, putative, expressed"
3634,PstI.TP41440,,"PTHR31968,PTHR31968:SF4",,,,,AT3G48120,,,LOC_Os01g49340,NA,"arginine/serine-rich coiled-coil protein 1, putative, expressed"
3635,PstI.TP41452,"PF04050,PF02854",PTHR12839,,,K14327,"GO:0005515,GO:0003723",AT2G39260,,binding;RNA binding,LOC_Os02g42040,NA,"MIF4G domain containing protein, putative, expressed"
3636,PstI.TP41452,PF00072,"PTHR26402,PTHR26402:SF566",,,K14492,GO:0000160,AT1G10470,"ARR4,ATRR1,IBC7,MEE7",response regulator 4,LOC_Os02g42060,NA,"response regulator receiver domain containing protein, expressed"
3637,PstI.TP41761,PF00244,"PTHR18860,PTHR18860:SF36",KOG0841,,K06630,GO:0019904,AT3G02520,"GF14 NU,GRF7",general regulatory factor 7,LOC_Os04g38870,NA,"14-3-3 protein, putative, expressed"
3638,PstI.TP41761,PF01221,"PTHR11886,PTHR11886:SF2",KOG3430,3.6.4.2,,"GO:0007017,GO:0005875",AT1G23220,,Dynein light chain type 1 family protein,LOC_Os04g38880,NA,"dynein light chain type 1 domain containing protein, expressed"
3639,PstI.TP41761,PF01145,"PTHR23222,PTHR23222:SF3",KOG3083,,K17080,GO:0016020,AT5G40770,"ATPHB3,PHB3",prohibitin 3,LOC_Os02g37000,NA,"mitochondrial prohibitin complex protein 1, putative, expressed"
3640,PstI.TP41761,"PF08263,PF00069","PTHR27008,PTHR27008:SF45",KOG1187,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672",AT1G48480,RKL1,receptor-like kinase 1,LOC_Os04g38910,NA,"atypical receptor-like kinase MARK, putative, expressed"
3642,PstI.TP417854,PF01351,"PTHR10954,PTHR10954:SF7",KOG2299,3.1.26.4,K10743,"GO:0004523,GO:0003723",AT2G25100,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",LOC_Os11g05570,NA,"RNASEH2A - Putative ribonuclease H2 large subunit, expressed"
3643,PstI.TP417854,PF04520,"PTHR33083,PTHR33083:SF4",,,,,AT3G15040,,"Protein of unknown function, DUF584",LOC_Os12g05980,NA,"DUF584 domain containing protein, putative, expressed"
3644,PstI.TP417854,PF00170,"PTHR22952,PTHR22952:SF208",,,,"GO:0043565,GO:0006355,GO:0003700",AT1G19490,,Basic-leucine zipper (bZIP) transcription factor family protein,LOC_Os11g05640,NA,"bZIP transcription factor domain containing protein, expressed"
3646,PstI.TP417854,PF06058,"PTHR16290,PTHR16290:SF3",KOG2868,,K12611,,AT1G08370,"ATDCP1,DCP1",decapping 1,LOC_Os11g05650,NA,"mRNA-decapping enzyme, putative, expressed"
3648,PstI.TP417854,,,,,,,,,,,NA,
3649,PstI.TP418863,PF00085,"PTHR10438,PTHR10438:SF270",KOG0910,1.8.1.8,K03671,"GO:0045454,GO:0015035,GO:0006662",AT1G50320,"ATHX,ATX,THX",thioredoxin X,LOC_Os04g57930,NA,"thioredoxin, putative, expressed"
3650,PstI.TP418863,PF01180,PTHR11938,,1.3.5.2,K00254,"GO:0055114,GO:0016627,GO:0005737",AT5G23300,PYRD,pyrimidine d,LOC_Os04g57950,NA,"dihydroorotate dihydrogenase protein, putative, expressed"
3652,PstI.TP418863,"PF01535,PF13041,PF12854","PTHR24015,PTHR24015:SF557",,,,,AT1G09900,,Pentatricopeptide repeat (PPR-like) superfamily protein,LOC_Os04g57900,NA,"PPR repeat containing protein, expressed"
3653,PstI.TP418863,PF13355,"PTHR33925,PTHR33925:SF2",,,,,AT3G19180,"ARC6H,ATCDP1,CDP1,PARC6",paralog of ARC6,LOC_Os04g57920,NA,"OsFBX154 - F-box domain containing protein, expressed"
3654,PstI.TP418863,"PF01535,PF13041","PTHR24015,PTHR24015:SF374",,,,,AT4G33170,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os04g57940,NA,"pentatricopeptide, putative, expressed"
3655,PstI.TP418863,PF16053,"PTHR35316,PTHR35316:SF1",,,,,AT5G52370,,,LOC_Os02g27960,NA,expressed protein
3656,PstI.TP419952,PF00221,"PTHR10362,PTHR10362:SF20",,4.3.1.24,K10775,,AT2G37040,"ATPAL1,PAL1",PHE ammonia lyase 1,LOC_Os11g48110,NA,"phenylalanine ammonia-lyase, putative, expressed"
3657,PstI.TP419952,"PF02881,PF02978,PF00448","PTHR11564,PTHR11564:SF5",,3.6.5.4,K03106,"GO:0006614,GO:0005525,GO:0048500,GO:0008312",AT1G48900,,"Signal recognition particle, SRP54 subunit protein",LOC_Os01g56600,NA,"signal recognition particle 54 kDa protein, putative, expressed"
3658,PstI.TP422970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,PstI.TP422970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3661,PstI.TP422970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3662,PstI.TP422970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3663,PstI.TP422970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3664,PstI.TP426779,PF03360,"PTHR10896,PTHR10896:SF33",KOG1476,2.4.2.24,,"GO:0016020,GO:0015018",AT1G27600,"I9H,IRX9-L",Nucleotide-diphospho-sugar transferases superfamily protein,LOC_Os04g01280,NA,"glycosyltransferase family 43 protein, putative, expressed"
3665,PstI.TP427104,,"PTHR12606,PTHR12606:SF14",,,,,,,,LOC_Os10g24954,NA,"ulp1 protease family, C-terminal catalytic domain containing protein, expressed"
3666,PstI.TP427104,"PF05922,PF02225,PF00082","PTHR10795,PTHR10795:SF347",,3.4.21.25,,"GO:0006508,GO:0004252",AT1G04110,SDD1,Subtilase family protein,LOC_Os04g47160,NA,"OsSub44 - Putative Subtilisin homologue, expressed"
3667,PstI.TP427104,PF13245,"PTHR10887,PTHR10887:SF320",,"3.6.4.13,3.6.4.12",,,AT5G35970,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os09g04440,NA,"DNA-binding protein, putative, expressed"
3668,PstI.TP428451,PF06273,"PTHR32091,PTHR32091:SF6",,,,,AT3G26400,EIF4B1,eukaryotic translation initiation factor 4B1,LOC_Os04g40400,NA,"eukaryotic translation initiation factor 4B, putative, expressed"
3669,PstI.TP428451,"PF00249,PF16495,PF04433","PTHR12802,PTHR12802:SF2",KOG1279,,K11649,GO:0005515,AT2G47620,"ATSWI3A,CHB1,SWI3A",SWITCH/sucrose nonfermenting 3A,LOC_Os04g40420,NA,"SWIRM domain containing protein, expressed"
3670,PstI.TP428451,PF05477,"PTHR32175,PTHR32175:SF2",,,,,AT5G40570,,Surfeit locus protein 2 (SURF2),LOC_Os04g40430,NA,"surfeit locus protein, putative, expressed"
3672,PstI.TP428451,PF16974,"PTHR34806,PTHR34806:SF2",,,,,AT5G50200,"ATNRT3.1,NRT3.1,WR3",nitrate transmembrane transporters,LOC_Os02g38230,NA,"high affinity nitrate transporter, putative, expressed"
3675,PstI.TP432584,PF08378,PTHR35287,,,,,AT1G65020,,,LOC_Os10g42630,NA,expressed protein
3677,PstI.TP432584,PF05701,"PTHR23160,PTHR23160:SF8",KOG1003,,,,AT1G65010,,Plant protein of unknown function (DUF827),LOC_Os05g02820,NA,"protein transport protein-related, putative, expressed"
3681,PstI.TP438189,,"PTHR34126,PTHR34126:SF1",,,,,AT3G21865,PEX22,peroxin 22,LOC_Os04g53690,NA,expressed protein
3683,PstI.TP438189,PF02298,"PTHR33021,PTHR33021:SF42",,,,GO:0009055,AT1G22480,,Cupredoxin superfamily protein,LOC_Os04g53710,NA,"plastocyanin-like domain containing protein, putative, expressed"
3684,PstI.TP438189,PF00856,"PTHR12197,PTHR12197:SF75",KOG2084,2.1.1.43,,GO:0005515,AT3G21820,"ATXR2,SDG36",histone-lysine N-methyltransferase ATXR2,LOC_Os04g53700,NA,"zinc finger protein, putative, expressed"
3685,PstI.TP438189,PF00481,"PTHR13832,PTHR13832:SF314",KOG0698,3.1.3.16,K17506,"GO:0003824,GO:0006470,GO:0004722",AT1G34750,,Protein phosphatase 2C family protein,LOC_Os04g37904,NA,"protein phosphatase 2C, putative, expressed"
3688,PstI.TP439176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3690,PstI.TP440583,PF13419,"PTHR12725,PTHR12725:SF72",KOG3109,3.1.3.74,K07025,,AT5G02230,,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,LOC_Os03g16670,NA,"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
3691,PstI.TP440583,,,,,,,,,,,NA,
3692,PstI.TP441536,PF08268,"PTHR32133,PTHR32133:SF91",,,,,,,,LOC_Os04g50200,NA,"OsFBX151 - F-box domain containing protein, expressed"
3693,PstI.TP441536,,,,,,,,,,,NA,
3694,PstI.TP441536,PF01370,"PTHR10366,PTHR10366:SF369",KOG1502,1.2.1.44,,"GO:0050662,GO:0003824",AT5G58490,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os03g60380,NA,"cinnamoyl CoA reductase, putative, expressed"
3695,PstI.TP441536,PF01370,"PTHR10366,PTHR10366:SF369",KOG1502,1.2.1.44,,"GO:0050662,GO:0003824",AT5G58490,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os03g60380,NA,"cinnamoyl CoA reductase, putative, expressed"
3696,PstI.TP441536,PF00328,"PTHR20963,PTHR20963:SF8",KOG1382,3.1.3.62,K03103,GO:0003993,AT1G09870,,histidine acid phosphatase family protein,LOC_Os03g60370,NA,"histidine acid phosphatase, putative, expressed"
3697,PstI.TP442690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3698,PstI.TP442690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3701,PstI.TP442690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3702,PstI.TP442690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703,PstI.TP442690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3704,PstI.TP442963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3705,PstI.TP442963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3706,PstI.TP442963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3707,PstI.TP442963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3708,PstI.TP443507,PF00249,"PTHR24078,PTHR24078:SF279",,,,,AT2G38090,,Duplicated homeodomain-like superfamily protein,LOC_Os01g04930,NA,"MYB family transcription factor, putative, expressed"
3711,PstI.TP444619,PF04859,"PTHR31161,PTHR31161:SF5",,,,,AT1G53380,,Plant protein of unknown function (DUF641),LOC_Os01g10680,NA,"GIL1, putative, expressed"
3712,PstI.TP444619,,,,,,,,,,,NA,
3713,PstI.TP444619,,,,,,,,,,,NA,
3715,PstI.TP44945,PF00704,"PTHR11177,PTHR11177:SF214",,3.2.1.14,K01183,"GO:0005975,GO:0004553",AT5G24090,"ATCHIA,CHIA",chitinase A,LOC_Os11g47580,NA,"glycosyl hydrolase, putative, expressed"
3716,PstI.TP44945,,,,,K16277,,,,,,NA,
3720,PstI.TP44945,PF02309,"PTHR31734,PTHR31734:SF8",,,K14484,"GO:0006355,GO:0005634",AT1G04240,"IAA3,SHY2",AUX/IAA transcriptional regulator family protein,LOC_Os07g08460,NA,"OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
3721,PstI.TP450060,,,,,,,,,,,NA,
3722,PstI.TP450060,PF00646,"PTHR32212,PTHR32212:SF103",,,,GO:0005515,AT1G32020,,F-box family protein,LOC_Os08g09720,NA,"OsFBX272 - F-box domain containing protein, expressed"
3725,PstI.TP450060,,"PTHR32212,PTHR32212:SF103",,,,,AT3G59190,,F-box/RNI-like superfamily protein,LOC_Os08g09730,NA,"OsFBX273 - F-box domain containing protein, expressed"
3726,PstI.TP452173,PF08224,"PTHR33377,PTHR33377:SF1",,,,,,,,LOC_Os07g02970,NA,expressed protein
3727,PstI.TP452173,,"PTHR31060,PTHR31060:SF10",,,,,AT2G13690,,"PRLI-interacting factor, putative",LOC_Os07g15600,NA,"H-BTB6 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
3729,PstI.TP457393,PF02362,"PTHR31140,PTHR31140:SF8",,,,GO:0003677,AT3G61970,NGA2,AP2/B3-like transcriptional factor family protein,LOC_Os10g39190,NA,"B3 DNA binding domain containing protein, expressed"
3732,PstI.TP466257,"PF04043,PF01095","PTHR31707,PTHR31707:SF12",,3.1.1.11,K01051,"GO:0004857,GO:0042545,GO:0030599,GO:0005618",AT4G02330,ATPMEPCRB,Plant invertase/pectin methylesterase inhibitor superfamily,LOC_Os05g29790,NA,"pectinesterase, putative, expressed"
3734,PstI.TP470138,"PF13812,PF13041,PF01535","PTHR24015,PTHR24015:SF260",,,,,AT5G66500,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os03g42650,NA,"vegetative storage protein, putative, expressed"
3735,PstI.TP470138,PF00903,"PTHR10374,PTHR10374:SF17",KOG2943,4.4.1.5,K01759,,AT1G11840,"ATGLX1,GLX1",glyoxalase I homolog,LOC_Os08g09250,NA,"glyoxalase family protein, putative, expressed"
3742,PstI.TP470138,PF00903,"PTHR10374,PTHR10374:SF17",KOG2943,4.4.1.5,K01759,,AT1G11840,"ATGLX1,GLX1",glyoxalase I homolog,LOC_Os08g09250,NA,"glyoxalase family protein, putative, expressed"
3744,PstI.TP470138,,,,,,,,,,,NA,
3745,PstI.TP470160,,,,,,,,,,,NA,
3746,PstI.TP470160,PF00170,"PTHR22952,PTHR22952:SF150",,,,"GO:0043565,GO:0006355,GO:0003700",AT5G38800,"AtbZIP43,bZIP43",basic leucine-zipper 43,LOC_Os07g03220,NA,"bZIP transcription factor domain containing protein, expressed"
3747,PstI.TP470160,PF06404,"PTHR33285,PTHR33285:SF5",,,,"GO:0008283,GO:0008083,GO:0005576",AT3G49780,"ATPSK3 (FORMER SYMBOL),ATPSK4,PSK4",phytosulfokine 4 precursor,LOC_Os03g12990,NA,"phytosulfokines precursor, putative, expressed"
3748,PstI.TP470160,"PF04851,PF00271","PTHR10799,PTHR10799:SF606",KOG1002,3.6.4.12,K19001,"GO:0016787,GO:0005524,GO:0003677",AT5G66750,"ATDDM1,CHA1,CHR01,CHR1,DDM1,SOM1,SOM4",chromatin remodeling 1,LOC_Os09g27060,NA,"SNF2 family N-terminal domain containing protein, expressed"
3751,PstI.TP475191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3752,PstI.TP475191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3753,PstI.TP475191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3755,PstI.TP476170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3756,PstI.TP476170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3757,PstI.TP476170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3758,PstI.TP476949,,"PTHR35828,PTHR35828:SF1",,,,,,,,LOC_Os03g56450,NA,"OsFBX111 - F-box domain containing protein, expressed"
3759,PstI.TP476949,"PF14432,PF01535,PF13041","PTHR24015,PTHR24015:SF43",,,,,AT2G22070,,pentatricopeptide (PPR) repeat-containing protein,LOC_Os03g56400,NA,"pentatricopeptide, putative, expressed"
3760,PstI.TP476949,PF14383,"PTHR34282,PTHR34282:SF1",,,,,AT5G42710,,,LOC_Os03g56430,NA,expressed protein
3761,PstI.TP476949,,"PTHR10996,PTHR10996:SF123",,,,,AT1G19400,,Erythronate-4-phosphate dehydrogenase family protein,LOC_Os03g56420,NA,expressed protein
3762,PstI.TP476949,PF01883,"PTHR12377,PTHR12377:SF3",KOG3381,,,,AT3G50845,,Protein of unknown function (DUF59),LOC_Os03g56410,NA,expressed protein
3764,PstI.TP476949,PF08285,"PTHR16433,PTHR16433:SF0",,2.4.1.83,K09659,,AT1G48140,,dolichol-phosphate mannosyltransferase-related,LOC_Os02g51420,NA,expressed protein
3765,PstI.TP477486,"PF05922,PF02225,PF00082","PTHR10795,PTHR10795:SF362",,3.4.21.25,,"GO:0006508,GO:0004252",AT2G04160,AIR3,Subtilisin-like serine endopeptidase family protein,LOC_Os09g30250,NA,"OsSub58 - Putative Subtilisin homologue, expressed"
3766,PstI.TP477486,"PF13812,PF14432,PF13041,PF01535","PTHR24015,PTHR24015:SF897",,,,,AT3G24000,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os10g30760,NA,"pentatricopeptide, putative, expressed"
3767,PstI.TP477486,,,,,,,,,,LOC_Os09g30260,NA,expressed protein
3768,PstI.TP477486,PF01501,"PTHR32116,PTHR32116:SF21",,2.4.1.43,,"GO:0016757,GO:0047262",AT5G47780,GAUT4,galacturonosyltransferase 4,LOC_Os09g30280,NA,"glycosyl transferase 8 domain containing protein, putative, expressed"
3770,PstI.TP477486,,PTHR36753,,,,,AT3G13275,,,,NA,
3771,PstI.TP477722,PF07690,"PTHR23500,PTHR23500:SF26",,,,"GO:0055085,GO:0016021",AT2G48020,,Major facilitator superfamily protein,LOC_Os03g24860,NA,"transporter family protein, putative, expressed"
3772,PstI.TP477722,PF00646,"PTHR32133,PTHR32133:SF92",,,,GO:0005515,AT3G59610,,F-box family protein / jacalin lectin family protein,LOC_Os03g46140,NA,"OsFBX101 - F-box domain containing protein, expressed"
3773,PstI.TP477722,PF00067,"PTHR24298,PTHR24298:SF58",KOG0156,,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT3G26280,CYP71B4,"cytochrome P450, family 71, subfamily B, polypeptide 4",LOC_Os10g30380,NA,"cytochrome P450, putative, expressed"
3774,PstI.TP477722,PF00582,"PTHR31964,PTHR31964:SF28",,,,GO:0006950,AT3G62550,,Adenine nucleotide alpha hydrolases-like superfamily protein,LOC_Os05g28740,NA,"universal stress protein domain containing protein, putative, expressed"
3775,PstI.TP477722,PF03692,"PTHR36791,PTHR36791:SF2",,,K06940,,AT5G02710,,,LOC_Os03g24844,NA,expressed protein
