,,SB,GI
26997,Sb07g026980,Sb07g026980,Sobic.007G202400
27019,Sb07g027180,Sb07g027180,Sobic.007G204400
27055,Sb07g027710,Sb07g027710,Sobic.007G209900
27061,Sb07g027795,Sb07g027795,null
27071,Sb07g028090,Sb07g028090,Sobic.007G213800
27078,Sb07g028310,Sb07g028310,Sobic.007G216700
27079,Sb07g028320,Sb07g028320,Sobic.007G216800
27098,Sb07g028370,Sb07g028370,null
27099,Sb07g028520,Sb07g028520,Sobic.007G218700
27130,Sb07g028920,Sb07g028920,Sobic.007G223900
27136,Sb0826s002010,Sb0826s002010,Sobic.K042600
27159,Sb08g000330,Sb08g000330,Sobic.008G001700
27201,Sb08g000420,Sb08g000420,Sobic.008G002700
27218,Sb08g000430,Sb08g000430,Sobic.008G002800
27238,Sb08g000600,Sb08g000600,Sobic.008G005300
27254,Sb08g000620,Sb08g000620,Sobic.008G005600
27285,Sb08g000740,Sb08g000740,Sobic.008G007100
27325,Sb08g001440,Sb08g001440,Sobic.008G016500
27326,Sb08g001450,Sb08g001450,Sobic.008G016600
27329,Sb08g001610,Sb08g001610,Sobic.008G018600
27330,Sb08g001890,Sb08g001890,Sobic.008G021300
27360,Sb08g001960,Sb08g001960,Sobic.008G022000
27397,Sb08g002130,Sb08g002130,Sobic.008G024500
27427,Sb08g002170,Sb08g002170,Sobic.008G024900
27428,Sb08g002210,Sb08g002210,Sobic.008G025300
27437,Sb08g002290,Sb08g002290,Sobic.008G026200
27446,Sb08g002320,Sb08g002320,Sobic.008G026700
27449,Sb08g002380,Sb08g002380,Sobic.008G027300
27450,Sb08g002520,Sb08g002520,Sobic.008G028600
27455,Sb08g002630,Sb08g002630,Sobic.008G030200
27469,Sb08g002655,Sb08g002655,null
27482,Sb08g002680,Sb08g002680,Sobic.008G030800
27483,Sb08g002950,Sb08g002950,null
27492,Sb08g003140,Sb08g003140,Sobic.008G036300
27493,Sb08g003190,Sb08g003190,Sobic.008G037000
27494,Sb08g003270,Sb08g003270,Sobic.008G038000
27498,Sb08g003520,Sb08g003520,Sobic.008G040800
27512,Sb08g003790,Sb08g003790,Sobic.008G044300
27536,Sb08g003850,Sb08g003850,Sobic.008G044900
27537,Sb08g004120,Sb08g004120,null
27542,Sb08g004200,Sb08g004200,Sobic.008G049300
27545,Sb08g004260,Sb08g004260,Sobic.008G050600
27549,Sb08g004580,Sb08g004580,Sobic.008G054100
27554,Sb08g004920,Sb08g004920,null
27557,Sb08g004960,Sb08g004960,Sobic.008G058900
27584,Sb08g005300,Sb08g005300,Sobic.008G063500
27587,Sb08g005390,Sb08g005390,Sobic.008G064500
27620,Sb08g005430,Sb08g005430,Sobic.008G065000
27625,Sb08g005510,Sb08g005510,Sobic.008G066200
27651,Sb08g005513,Sb08g005513,null
27690,Sb08g005520,Sb08g005520,Sobic.008G066700
27700,Sb08g005570,Sb08g005570,Sobic.008G067200
27703,Sb08g005590,Sb08g005590,null
27705,Sb08g005600,Sb08g005600,null
27742,Sb08g005620,Sb08g005620,Sobic.008G067700
27754,Sb08g005630,Sb08g005630,Sobic.008G067800
27793,Sb08g006540,Sb08g006540,Sobic.008G073700
27794,Sb08g006600,Sb08g006600,Sobic.008G073900
27845,Sb08g007570,Sb08g007570,Sobic.008G079800
27875,Sb08g007700,Sb08g007700,Sobic.008G081200
27876,Sb08g007710,Sb08g007710,Sobic.008G081400
27878,Sb08g008410,Sb08g008410,Sobic.008G084800
27882,Sb08g008813,Sb08g008813,null
27892,Sb08g009550,Sb08g009550,Sobic.008G088000
27904,Sb08g013840,Sb08g013840,Sobic.008G094300
27905,Sb08g014065,Sb08g014065,Sobic.008G094800
27927,Sb08g014620,Sb08g014620,Sobic.008G096900
27947,Sb08g015237,Sb08g015237,null
27993,Sb08g015240,Sb08g015240,null
28010,Sb08g015290,Sb08g015290,Sobic.008G100300
28028,Sb08g016190,Sb08g016190,Sobic.008G107000
28043,Sb08g016350,Sb08g016350,Sobic.008G109300
28059,Sb08g016370,Sb08g016370,Sobic.008G109400
28074,Sb08g016390,Sb08g016390,Sobic.008G109600
28075,Sb08g016550,Sb08g016550,Sobic.008G111500
28076,Sb08g016610,Sb08g016610,Sobic.008G112100
28102,Sb08g017090,Sb08g017090,Sobic.008G117300
28121,Sb08g017120,Sb08g017120,Sobic.008G117600
28167,Sb08g017170,Sb08g017170,Sobic.008G118000
28169,Sb08g017420,Sb08g017420,null
28210,Sb08g017520,Sb08g017520,Sobic.008G122700
28222,Sb08g017540,Sb08g017540,Sobic.008G122800
28226,Sb08g018265,Sb08g018265,null
28232,Sb08g018600,Sb08g018600,null
28233,Sb08g018850,Sb08g018850,null
28260,Sb08g018980,Sb08g018980,Sobic.008G138900
28325,Sb08g019030,Sb08g019030,Sobic.008G139500
28339,Sb08g019270,Sb08g019270,Sobic.008G142000
28345,Sb08g019420,Sb08g019420,Sobic.008G143900
28352,Sb08g019550,Sb08g019550,Sobic.008G145200
28370,Sb08g019670,Sb08g019670,Sobic.008G146700
28386,Sb08g019860,Sb08g019860,Sobic.008G148400
28389,Sb08g019960,Sb08g019960,Sobic.008G149900
28394,Sb08g020415,Sb08g020415,Sobic.008G155000
28416,Sb08g020530,Sb08g020530,Sobic.008G156500
28449,Sb08g020650,Sb08g020650,Sobic.008G157600
28537,Sb08g020880,Sb08g020880,null
28581,Sb08g020910,Sb08g020910,Sobic.008G162700
28614,Sb08g020950,Sb08g020950,Sobic.008G163200
28634,Sb08g020990,Sb08g020990,Sobic.008G163600
28653,Sb08g021000,Sb08g021000,Sobic.008G163700
28657,Sb08g021260,Sb08g021260,Sobic.008G167100
28660,Sb08g021280,Sb08g021280,Sobic.008G167300
28672,Sb08g021390,Sb08g021390,Sobic.008G168700
28681,Sb08g021750,Sb08g021750,Sobic.008G172800
28691,Sb08g021870,Sb08g021870,Sobic.008G174100
28695,Sb08g022145,Sb08g022145,null
28743,Sb08g022150,Sb08g022150,Sobic.008G177900
28746,Sb08g022180,Sb08g022180,Sobic.008G178300
28755,Sb08g022295,Sb08g022295,null
28771,Sb08g022350,Sb08g022350,Sobic.008G181300
28780,Sb08g022390,Sb08g022390,Sobic.008G182300
28785,Sb08g022400,Sb08g022400,Sobic.008G182400
28786,Sb08g022420,Sb08g022420,Sobic.008G182600
28794,Sb08g022430,Sb08g022430,Sobic.008G182700
28817,Sb08g022440,Sb08g022440,Sobic.008G182800
28848,Sb08g022450,Sb08g022450,Sobic.008G182900
28849,Sb08g022480,Sb08g022480,Sobic.008G183200
28928,Sb08g022520,Sb08g022520,Sobic.008G183400
28949,Sb08g022883,Sb08g022883,Sobic.008G187900
28960,Sb08g022890,Sb08g022890,Sobic.008G188000
28983,Sb08g023000,Sb08g023000,Sobic.008G189500
28989,Sb08g023067,Sb08g023067,null
29016,Sb08g023150,Sb08g023150,Sobic.008G191300
29069,Sb08g023190,Sb08g023190,Sobic.008G191700
29070,Sb09g000440,Sb09g000440,Sobic.009G002500
29081,Sb09g000450,Sb09g000450,Sobic.009G002600
29092,Sb09g000520,Sb09g000520,Sobic.009G003600
29099,Sb09g000600,Sb09g000600,Sobic.009G004500
29103,Sb09g000620,Sb09g000620,null
29135,Sb09g000630,Sb09g000630,null
29166,Sb09g000700,Sb09g000700,Sobic.009G005600
29190,Sb09g000770,Sb09g000770,Sobic.009G006300
29212,Sb09g000870,Sb09g000870,null
29235,Sb09g000980,Sb09g000980,null
29300,Sb09g000990,Sb09g000990,Sobic.009G009200
29341,Sb09g001000,Sb09g001000,null
29345,Sb09g001010,Sb09g001010,Sobic.009G009400
29346,Sb09g001040,Sb09g001040,null
29367,Sb09g001050,Sb09g001050,Sobic.009G009700
29372,Sb09g001060,Sb09g001060,Sobic.009G009800
29387,Sb09g001120,Sb09g001120,Sobic.009G010700
29427,Sb09g001200,Sb09g001200,Sobic.009G012000
29432,Sb09g001230,Sb09g001230,Sobic.009G012300
29455,Sb09g001250,Sb09g001250,null
29487,Sb09g001320,Sb09g001320,Sobic.009G013500
29504,Sb09g001430,Sb09g001430,Sobic.009G014700
29506,Sb09g001740,Sb09g001740,null
29507,Sb09g001750,Sb09g001750,Sobic.009G019200
29508,Sb09g001780,Sb09g001780,Sobic.009G019800
29513,Sb09g001860,Sb09g001860,Sobic.009G021300
29515,Sb09g001880,Sb09g001880,Sobic.009G021600
29547,Sb09g001940,Sb09g001940,Sobic.009G022500
29550,Sb09g002300,Sb09g002300,null
29573,Sb09g002350,Sb09g002350,Sobic.009G028200
29625,Sb09g003060,Sb09g003060,Sobic.009G036100
29639,Sb09g003470,Sb09g003470,null
29654,Sb09g003580,Sb09g003580,Sobic.009G042600
29665,Sb09g003690,Sb09g003690,Sobic.009G043600
29682,Sb09g003790,Sb09g003790,Sobic.009G044400
29744,Sb09g003900,Sb09g003900,Sobic.009G045600
29748,Sb09g003980,Sb09g003980,null
29786,Sb09g003990,Sb09g003990,Sobic.009G046500
29800,Sb09g004170,Sb09g004170,Sobic.009G048900
29844,Sb09g004390,Sb09g004390,Sobic.009G051800
29845,Sb09g004520,Sb09g004520,Sobic.009G053700
29859,Sb09g004640,Sb09g004640,Sobic.009G054900
29863,Sb09g004660,Sb09g004660,Sobic.009G055300
29864,Sb09g004750,Sb09g004750,Sobic.009G056400
29868,Sb09g004850,Sb09g004850,Sobic.009G057400
29894,Sb09g005140,Sb09g005140,Sobic.009G061200
29910,Sb09g005230,Sb09g005230,Sobic.009G062800
29923,Sb09g005340,Sb09g005340,Sobic.009G064100
29924,Sb09g005610,Sb09g005610,Sobic.009G067400
29935,Sb09g005830,Sb09g005830,Sobic.009G069700
29938,Sb09g005940,Sb09g005940,Sobic.009G070600
29946,Sb09g005960,Sb09g005960,Sobic.009G070700
29981,Sb09g006010,Sb09g006010,Sobic.009G071300
29993,Sb09g006490,Sb09g006490,null
30011,Sb09g006534,Sb09g006534,null
30041,Sb09g006536,Sb09g006536,null
30046,Sb09g007360,Sb09g007360,Sobic.009G083600
30055,Sb09g007940,Sb09g007940,Sobic.009G085900
30057,Sb09g008070,Sb09g008070,Sobic.009G087600
30060,Sb09g017210,Sb09g017210,Sobic.009G106700
30065,Sb09g017860,Sb09g017860,Sobic.009G110200
30074,Sb09g018250,Sb09g018250,Sobic.009G115200
30087,Sb09g018280,Sb09g018280,Sobic.009G115400
30112,Sb09g018300,Sb09g018300,Sobic.009G115500
30114,Sb09g018310,Sb09g018310,Sobic.009G115600
30116,Sb09g018440,Sb09g018440,Sobic.009G116800
30136,Sb09g018730,Sb09g018730,Sobic.009G119200
30152,Sb09g018860,Sb09g018860,Sobic.009G120800
30153,Sb09g018930,Sb09g018930,Sobic.009G121600
30184,Sb09g019020,Sb09g019020,Sobic.009G122400
30189,Sb09g019300,Sb09g019300,Sobic.009G125500
30242,Sb09g019940,Sb09g019940,Sobic.009G133000
30276,Sb09g019990,Sb09g019990,Sobic.009G133800
30277,Sb09g020060,Sb09g020060,null
30282,Sb09g020230,Sb09g020230,Sobic.009G136400
30289,Sb09g020240,Sb09g020240,Sobic.009G136500
30305,Sb09g020690,Sb09g020690,Sobic.009G141500
30321,Sb09g020800,Sb09g020800,Sobic.009G142900
30345,Sb09g020960,Sb09g020960,Sobic.009G144600
30347,Sb09g021000,Sb09g021000,Sobic.009G144900
30353,Sb09g021030,Sb09g021030,Sobic.009G145500
30372,Sb09g021040,Sb09g021040,Sobic.009G145600
30376,Sb09g021050,Sb09g021050,Sobic.009G145700
30409,Sb09g021420,Sb09g021420,Sobic.009G150000
30465,Sb09g021770,Sb09g021770,Sobic.009G154200
30473,Sb09g021780,Sb09g021780,Sobic.009G154300
30482,Sb09g021840,Sb09g021840,null
30497,Sb09g022400,Sb09g022400,Sobic.009G161700
30594,Sb09g022580,Sb09g022580,Sobic.009G163900
30609,Sb09g022700,Sb09g022700,Sobic.009G165000
30627,Sb09g023060,Sb09g023060,Sobic.009G169000
30645,Sb09g023700,Sb09g023700,Sobic.009G176600
30681,Sb09g023870,Sb09g023870,Sobic.009G178500
30758,Sb09g024230,Sb09g024230,Sobic.009G182000
30760,Sb09g024580,Sb09g024580,Sobic.009G186500
30776,Sb09g024620,Sb09g024620,null
30811,Sb09g024680,Sb09g024680,Sobic.009G187400
30817,Sb09g024790,Sb09g024790,Sobic.009G189000
30820,Sb09g025010,Sb09g025010,null
30842,Sb09g025090,Sb09g025090,Sobic.009G192100
30895,Sb09g025140,Sb09g025140,Sobic.009G192600
30897,Sb09g025470,Sb09g025470,Sobic.009G196300
30903,Sb09g025510,Sb09g025510,Sobic.009G197000
30904,Sb09g025520,Sb09g025520,null
30938,Sb09g025540,Sb09g025540,Sobic.009G197600
30964,Sb09g025570,Sb09g025570,Sobic.009G198000
30993,Sb09g025900,Sb09g025900,Sobic.009G201500
31000,Sb09g025990,Sb09g025990,Sobic.009G202400
31017,Sb09g026100,Sb09g026100,Sobic.009G203700
31018,Sb09g026141,Sb09g026141,Sobic.009G204300
31043,Sb09g026180,Sb09g026180,Sobic.009G204900
31071,Sb09g026410,Sb09g026410,Sobic.009G207600
31100,Sb09g026640,Sb09g026640,Sobic.009G210200
31106,Sb09g027030,Sb09g027030,Sobic.009G214700
31133,Sb09g027223,Sb09g027223,null
31134,Sb09g027260,Sb09g027260,Sobic.009G217500
31136,Sb09g027270,Sb09g027270,Sobic.009G217600
31196,Sb09g027610,Sb09g027610,Sobic.009G222100
31229,Sb09g027710,Sb09g027710,Sobic.009G223500
31244,Sb09g027770,Sb09g027770,Sobic.009G224200
31247,Sb09g027890,Sb09g027890,Sobic.009G225600
31262,Sb09g028260,Sb09g028260,Sobic.009G229700
31293,Sb09g028290,Sb09g028290,Sobic.009G230000
31304,Sb09g028310,Sb09g028310,Sobic.009G230200
31314,Sb09g028340,Sb09g028340,Sobic.009G230600
31315,Sb09g028890,Sb09g028890,Sobic.009G236400
31320,Sb09g028960,Sb09g028960,Sobic.009G237200
31360,Sb09g029050,Sb09g029050,Sobic.009G238200
31393,Sb09g029300,Sb09g029300,Sobic.009G241300
31404,Sb09g029320,Sb09g029320,Sobic.009G241500
31409,Sb09g029360,Sb09g029360,Sobic.009G242100
31414,Sb09g029430,Sb09g029430,Sobic.009G242700
31454,Sb09g029480,Sb09g029480,Sobic.009G243200
31481,Sb09g029640,Sb09g029640,Sobic.009G245400
31492,Sb09g029910,Sb09g029910,Sobic.009G248500
31563,Sb09g030010,Sb09g030010,Sobic.009G249600
31588,Sb09g030110,Sb09g030110,Sobic.009G250400
31605,Sb09g030670,Sb09g030670,Sobic.009G256900
31606,Sb09g030950,Sb09g030950,Sobic.009G260600
31612,Sb10g000510,Sb10g000510,Sobic.010G003600
31622,Sb10g000970,Sb10g000970,null
31632,Sb10g001150,Sb10g001150,Sobic.010G011700
31657,Sb10g001190,Sb10g001190,Sobic.010G012000
31661,Sb10g001620,Sb10g001620,Sobic.010G016500
31690,Sb10g001770,Sb10g001770,Sobic.010G018300
31696,Sb10g001873,Sb10g001873,null
31750,Sb10g001940,Sb10g001940,Sobic.010G020200
31784,Sb10g002030,Sb10g002030,Sobic.010G021300
31805,Sb10g002210,Sb10g002210,Sobic.010G023600
31831,Sb10g002290,Sb10g002290,null
31832,Sb10g002590,Sb10g002590,null
31850,Sb10g002600,Sb10g002600,null
31854,Sb10g002610,Sb10g002610,Sobic.010G028600
31868,Sb10g002870,Sb10g002870,Sobic.010G031700
31877,Sb10g002880,Sb10g002880,Sobic.010G031900
31886,Sb10g002890,Sb10g002890,Sobic.010G032000
31924,Sb10g003130,Sb10g003130,Sobic.010G034600
31928,Sb10g003230,Sb10g003230,Sobic.010G036000
31929,Sb10g003280,Sb10g003280,Sobic.010G036800
31931,Sb10g003300,Sb10g003300,Sobic.010G037200
31948,Sb10g003420,Sb10g003420,Sobic.010G038500
31961,Sb10g003500,Sb10g003500,Sobic.010G039500
31976,Sb10g003640,Sb10g003640,null
32006,Sb10g003800,Sb10g003800,Sobic.010G043100
32007,Sb10g003910,Sb10g003910,null
32011,Sb10g004000,Sb10g004000,Sobic.010G045700
32013,Sb10g005170,Sb10g005170,Sobic.010G059800
32014,Sb10g005280,Sb10g005280,Sobic.010G060900
32048,Sb10g005770,Sb10g005770,Sobic.010G066700
32053,Sb10g005840,Sb10g005840,Sobic.010G067200
32055,Sb10g005950,Sb10g005950,Sobic.010G068300
32057,Sb10g006050,Sb10g006050,Sobic.010G069300
32061,Sb10g006350,Sb10g006350,Sobic.010G072700
32066,Sb10g006490,Sb10g006490,Sobic.010G074100
32074,Sb10g006580,Sb10g006580,Sobic.010G075500
32123,Sb10g006770,Sb10g006770,Sobic.010G077900
32135,Sb10g006910,Sb10g006910,Sobic.010G079700
32160,Sb10g007060,Sb10g007060,Sobic.010G081600
32174,Sb10g007150,Sb10g007150,Sobic.010G082400
32175,Sb10g007240,Sb10g007240,Sobic.010G083600
32197,Sb10g007290,Sb10g007290,Sobic.010G084100
32210,Sb10g007293,Sb10g007293,null
32211,Sb10g007600,Sb10g007600,Sobic.010G087800
32229,Sb10g007610,Sb10g007610,Sobic.010G087900
32242,Sb10g007700,Sb10g007700,Sobic.010G088800
32251,Sb10g007770,Sb10g007770,Sobic.010G089600
32254,Sb10g007920,Sb10g007920,Sobic.010G091100
32255,Sb10g008130,Sb10g008130,Sobic.010G092900
32268,Sb10g008200,Sb10g008200,Sobic.010G093400
32292,Sb10g008213,Sb10g008213,Sobic.010G094300
32296,Sb10g008730,Sb10g008730,Sobic.010G100300
32345,Sb10g008750,Sb10g008750,Sobic.010G100600
32359,Sb10g008930,Sb10g008930,Sobic.010G102500
32374,Sb10g009010,Sb10g009010,Sobic.010G103300
32424,Sb10g009090,Sb10g009090,Sobic.010G104300
32429,Sb10g009140,Sb10g009140,Sobic.010G104600
32433,Sb10g009160,Sb10g009160,Sobic.010G104800
32451,Sb10g009820,Sb10g009820,null
32472,Sb10g009950,Sb10g009950,Sobic.010G114600
32483,Sb10g009990,Sb10g009990,Sobic.010G115000
32486,Sb10g010060,Sb10g010060,null
32530,Sb10g010350,Sb10g010350,Sobic.010G117100
32555,Sb10g010380,Sb10g010380,Sobic.010G117400
32575,Sb10g010410,Sb10g010410,Sobic.010G117800
32586,Sb10g010420,Sb10g010420,Sobic.010G117900
32606,Sb10g011020,Sb10g011020,Sobic.010G124900
32619,Sb10g011170,Sb10g011170,null
32623,Sb10g011210,Sb10g011210,Sobic.010G128000
32626,Sb10g012160,Sb10g012160,Sobic.010G131700
32629,Sb10g012970,Sb10g012970,Sobic.010G134700
32638,Sb10g013000,Sb10g013000,Sobic.010G135100
32682,Sb10g013030,Sb10g013030,Sobic.010G135600
32695,Sb10g013313,Sb10g013313,Sobic.010G136900
32708,Sb10g015690,Sb10g015690,Sobic.010G140500
32710,Sb10g020180,Sb10g020180,Sobic.010G150900
32715,Sb10g020870,Sb10g020870,Sobic.010G155300
32794,Sb10g020960,Sb10g020960,Sobic.010G156500
32797,Sb10g021140,Sb10g021140,Sobic.010G159000
32868,Sb10g021250,Sb10g021250,Sobic.010G159700
32869,Sb10g021320,Sb10g021320,Sobic.010G160600
32873,Sb10g021610,Sb10g021610,Sobic.010G161600
32877,Sb10g021670,Sb10g021670,Sobic.010G162500
32880,Sb10g021680,Sb10g021680,Sobic.010G162700
32945,Sb10g021690,Sb10g021690,Sobic.010G162900
32946,Sb10g021700,Sb10g021700,Sobic.010G163000
32947,Sb10g021935,Sb10g021935,Sobic.010G165700
32948,Sb10g021980,Sb10g021980,Sobic.010G166500
32958,Sb10g022010,Sb10g022010,Sobic.010G166800
32967,Sb10g022340,Sb10g022340,Sobic.010G170600
32996,Sb10g022440,Sb10g022440,Sobic.010G171900
32997,Sb10g022470,Sb10g022470,Sobic.010G172200
33041,Sb10g022780,Sb10g022780,Sobic.010G175800
33078,Sb10g023010,Sb10g023010,Sobic.010G178500
33101,Sb10g023140,Sb10g023140,Sobic.010G179800
33105,Sb10g023370,Sb10g023370,Sobic.010G182700
33111,Sb10g023690,Sb10g023690,Sobic.010G186400
33123,Sb10g023850,Sb10g023850,Sobic.010G188300
33250,Sb10g024260,Sb10g024260,Sobic.010G193000
33256,Sb10g024280,Sb10g024280,Sobic.010G193200
33275,Sb10g024300,Sb10g024300,Sobic.010G193400
33297,Sb10g024580,Sb10g024580,Sobic.010G196600
33311,Sb10g024770,Sb10g024770,Sobic.010G199000
33335,Sb10g025150,Sb10g025150,Sobic.010G204100
33348,Sb10g025286,Sb10g025286,null
33392,Sb10g025590,Sb10g025590,Sobic.010G209100
33409,Sb10g025600,Sb10g025600,Sobic.010G209200
33419,Sb10g025730,Sb10g025730,Sobic.010G210600
33421,Sb10g025740,Sb10g025740,Sobic.010G210700
33433,Sb10g025880,Sb10g025880,Sobic.010G212100
33434,Sb10g025910,Sb10g025910,Sobic.010G212500
33435,Sb10g026030,Sb10g026030,Sobic.010G213700
33459,Sb10g026040,Sb10g026040,Sobic.010G213800
33460,Sb10g026450,Sb10g026450,Sobic.010G218500
33465,Sb10g026460,Sb10g026460,Sobic.010G218600
33480,Sb10g026660,Sb10g026660,Sobic.010G221200
33486,Sb10g026740,Sb10g026740,Sobic.010G222100
33495,Sb10g026970,Sb10g026970,null
33503,Sb10g027100,Sb10g027100,Sobic.010G227300
33547,Sb10g027340,Sb10g027340,Sobic.010G230800
33574,Sb10g027460,Sb10g027460,Sobic.010G231900
33614,Sb10g027485,Sb10g027485,null
33615,Sb10g027540,Sb10g027540,Sobic.010G233200
33620,Sb10g027610,Sb10g027610,Sobic.010G234000
33625,Sb10g027640,Sb10g027640,Sobic.010G234400
33681,Sb10g027660,Sb10g027660,Sobic.010G234600
33712,Sb10g028070,Sb10g028070,Sobic.010G240400
33750,Sb10g028140,Sb10g028140,Sobic.010G241200
33784,Sb10g028150,Sb10g028150,Sobic.010G241300
33785,Sb10g028360,Sb10g028360,Sobic.010G244100
33789,Sb10g028480,Sb10g028480,Sobic.010G245500
33804,Sb10g028570,Sb10g028570,Sobic.010G246600
33822,Sb10g028610,Sb10g028610,Sobic.010G247300
33823,Sb10g028690,Sb10g028690,Sobic.010G248200
33826,Sb10g028700,Sb10g028700,null
33833,Sb10g028770,Sb10g028770,Sobic.010G249400
33872,Sb10g029280,Sb10g029280,Sobic.010G255300
33888,Sb10g029330,Sb10g029330,null
33959,Sb10g029590,Sb10g029590,Sobic.010G259300
33971,Sb10g029710,Sb10g029710,Sobic.010G260700
33986,Sb10g029810,Sb10g029810,Sobic.010G261800
34002,Sb10g030080,Sb10g030080,Sobic.010G265500
34038,Sb10g030200,Sb10g030200,Sobic.010G267000
34082,Sb10g030380,Sb10g030380,Sobic.010G268800
34085,Sb10g030570,Sb10g030570,Sobic.010G270900
34110,Sb10g030660,Sb10g030660,Sobic.010G272000
34118,Sb10g031320,Sb10g031320,null
34171,Sb1306s002010,Sb1306s002010,Sobic.K012700
34204,Sb2250s002010,Sb2250s002010,Sobic.K024500
34265,Sb2432s002010,Sb2432s002010,null
34295,Sb3219s002010,Sb3219s002010,Sobic.K029900
34350,Sb3247s002010,Sb3247s002010,Sobic.K030000
